date,YS_GER
2007-12-01,0.363349
2007-12-01,0.355205
2007-12-01,0.359541
2007-12-01,0.354684
2007-12-01,0.35633
2007-12-01,0.352172
2007-12-01,0.361771
2008-01-01,0.409088
2008-01-01,0.411487
2008-01-01,0.419241
2008-01-01,0.388331
2008-01-01,0.350706
2008-01-01,0.385934
2008-01-01,0.360226
2008-01-01,0.388854
2008-01-01,0.390847
2008-01-01,0.414939
2008-01-01,0.439067
2008-01-01,0.490851
2008-01-01,0.525075
2008-01-01,0.587236
2008-01-01,0.675417
2008-01-01,0.690843
2008-01-01,0.577902
2008-01-01,0.53865
2008-01-01,0.590902
2008-01-01,0.594553
2008-01-01,0.604573
2008-01-01,0.624283
2008-02-01,0.6018
2008-02-01,0.595244
2008-02-01,0.65379
2008-02-01,0.6821
2008-02-01,0.774913
2008-02-01,0.816323
2008-02-01,0.834593
2008-02-01,0.847163
2008-02-01,0.86134
2008-02-01,0.847201
2008-02-01,0.877035
2008-02-01,0.846242
2008-02-01,0.852746
2008-02-01,0.825096
2008-02-01,0.751984
2008-02-01,0.736838
2008-02-01,0.760812
2008-02-01,0.766983
2008-02-01,0.81933
2008-02-01,0.833609
2008-02-01,0.859062
2008-03-01,0.803674
2008-03-01,0.767425
2008-03-01,0.785479
2008-03-01,0.755829
2008-03-01,0.747085
2008-03-01,0.756292
2008-03-01,0.659098
2008-03-01,0.621065
2008-03-01,0.670716
2008-03-01,0.667273
2008-03-01,0.756299
2008-03-01,0.71522
2008-03-01,0.622269
2008-03-01,0.516038
2008-03-01,0.478182
2008-03-01,0.481592
2008-03-01,0.55527
2008-03-01,0.540926
2008-03-01,0.535383
2008-04-01,0.507007
2008-04-01,0.504548
2008-04-01,0.544721
2008-04-01,0.523713
2008-04-01,0.519999
2008-04-01,0.531775
2008-04-01,0.567716
2008-04-01,0.549149
2008-04-01,0.530771
2008-04-01,0.531773
2008-04-01,0.508971
2008-04-01,0.501459
2008-04-01,0.516599
2008-04-01,0.439213
2008-04-01,0.449955
2008-04-01,0.329583
2008-04-01,0.383661
2008-04-01,0.432619
2008-04-01,0.434328
2008-04-01,0.484509
2008-04-01,0.492899
2008-04-01,0.461656
2008-05-01,0.457608
2008-05-01,0.439196
2008-05-01,0.484585
2008-05-01,0.511844
2008-05-01,0.483657
2008-05-01,0.484195
2008-05-01,0.4304
2008-05-01,0.400837
2008-05-01,0.377937
2008-05-01,0.367429
2008-05-01,0.319098
2008-05-01,0.330772
2008-05-01,0.312169
2008-05-01,0.282571
2008-05-01,0.246374
2008-05-01,0.188833
2008-05-01,0.213176
