date,EPU_MEX,IP_MEX,INF_YoY_MEX,GDP_MEX,2YS_MEX,1OYS_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,INF_MEX
2009-02-01,,84.7482210373604,,,7.16,8.24,,5.224133,,,,1.0,6.2010000000000005
2009-03-01,,84.124169779059,,,7.48,7.75,,5.0969,,,,1.0,6.0440000000000005
2009-04-01,0.1871433,84.24869545862,,4659.7165,6.13,,,5.429474,,1330893.875,1118045.25,1.0,6.173
2009-05-01,,84.0061038889022,,,5.41,7.55,,5.676421,,,,1.0,5.979
2009-06-01,,83.6125971024242,,,5.2,8.22,,5.366691,,,,0.0,5.736
2009-07-01,0.2765742,85.7035617169106,,4827.5295,5.12,8.09,,5.724208999999999,,1476302.0,1202030.25,0.0,5.437
2009-08-01,,85.6555807594929,,,5.13,,,5.863554,,,,0.0,5.082
2009-09-01,,86.8590889109039,,,5.36,8.0,,5.987611,,,,0.0,4.894
2009-10-01,0.1683927,87.2813755560259,,4931.884,5.39,8.05,,5.814369999999999,,1564296.0,1303320.375,0.0,4.4990000000000006
2009-11-01,,88.6697494242751,,,5.23,,,5.489937,,,,0.0,3.861
2009-12-01,,88.9377123523513,,,5.07,7.81,,5.334559,,,,0.0,3.5740000000000003
2010-01-01,0.0911577,88.9004406954788,4.15672722680174,4951.675,4.99,,12.636,5.607984,9389.06722084275,1626988.875,1388683.25,0.0,4.457
2010-02-01,,88.3706287822,,,5.0,7.66,,5.401496,,,,0.0,4.83
2010-03-01,,89.5319336711901,,,5.08,,,5.17641,,,,0.0,4.97
2010-04-01,0.0,90.4846447100627,,5009.933,5.09,7.54,,5.534603,,1674829.0,1469867.25,0.0,4.271
2010-05-01,,90.0067065925664,,,4.96,7.49,,5.421975,,,,0.0,3.917
2010-06-01,,89.8106063024854,,,4.86,,,5.206282,,,,0.0,3.693
2010-07-01,0.1904943,89.7199622399515,,5054.4165,4.8,6.88,,5.33371,,1697296.0,1559017.625,0.0,3.636
2010-08-01,,90.4145039936269,,,4.78,6.49,,5.088127,,,,0.0,3.676
2010-09-01,,90.0056063499589,,,4.74,6.25,,5.299422,,,,0.0,3.699
2010-10-01,0.5679129,89.872313637397,,5095.581,4.66,,,5.541229,,1734643.25,1551506.625,0.0,4.025
2010-11-01,,89.8380580966836,,,4.52,6.13,,5.502176,,,,0.0,4.317
2010-12-01,,90.6526760017607,,,4.86,7.16,,5.460436,,,,0.0,4.401999999999999
2011-01-01,0.2742481,90.8751261858946,3.40737824605742,5129.615,4.76,,,5.201164,9575.93437788582,1765990.75,1589406.25,0.0,3.782
2011-02-01,,90.598534879872,,,4.82,,,5.362089,,,,0.0,3.572
2011-03-01,,91.2359149377682,,,4.75,,,4.974079,,,,0.0,3.04
2011-04-01,0.286944,91.1162935283693,,5151.4095,4.93,7.28,,5.246964,,1776857.375,1574253.5,0.0,3.361
2011-05-01,,92.0166883560095,,,4.84,,,5.449658,,,,0.0,3.249
2011-06-01,,92.7599420413144,,,4.72,6.92,,5.553328,,,,0.0,3.276
2011-07-01,0.0,92.6968447000043,,5243.464,4.65,6.9,,5.250299,,1806698.75,1635105.125,0.0,3.547
2011-08-01,,93.1415392473251,,,4.52,5.78,,5.410319,,,,0.0,3.424
2011-09-01,,93.0205472403006,,,4.46,,,5.306053,,,,0.0,3.137
2011-10-01,0.433163,93.9317967583169,,5281.379,4.4,6.85,,4.880269999999999,,1807027.25,1723165.5,0.0,3.196
2011-11-01,,95.0235395604869,,,4.47,6.38,,5.1597550000000005,,,,0.0,3.483
2011-12-01,,95.5098479573471,,,4.57,6.46,,5.018336,,,,0.0,3.819
2012-01-01,0.336191,95.5968796487982,4.11150981070289,5332.954,4.71,,,4.725116000000001,9782.51776305354,1854285.5,1737526.0,0.0,4.047
2012-02-01,,95.5943649170586,,,4.6,,,5.299411,,,,0.0,3.869
2012-03-01,,95.6847202803192,,,4.64,,,5.022005,,,,0.0,3.729
2012-04-01,0.4548297,95.9370293736538,,5368.527,4.57,,,4.959230000000001,,1863280.875,1809168.25,0.0,3.412
2012-05-01,,95.7816550787384,,,4.61,6.22,,5.009917,,,,0.0,3.851
2012-06-01,,96.3272635649923,,,4.61,5.94,,4.910563,,,,0.0,4.335
2012-07-01,0.1937609,97.0443928329044,,5378.343,4.58,5.12,,4.697013,,1872111.25,1743657.375,0.0,4.42
