date,10YS_GER,2YS_GER,Spread
2021-04-01,-0.325,-0.5553,0.2303
2021-05-01,-0.2235,-0.5234,0.29989999999999994
2021-06-01,-0.288636363636364,-0.5452,0.256563636363636
2021-07-01,-0.4513636363636359,-0.5817,0.13033636363636408
2021-08-01,-0.538636363636364,-0.6402,0.10156363636363597
2021-09-01,-0.3627272727272729,-0.6208,0.2580727272727271
2021-10-01,-0.204285714285714,-0.5914,0.3871142857142861
2021-11-01,-0.313636363636364,-0.6503,0.336663636363636
2021-12-01,-0.3842857142857139,-0.538,0.15371428571428614
2022-01-01,-0.114761904761905,-0.4512,0.336438095238095
2022-02-01,0.15,-0.1914,0.3414
2022-03-01,0.281739130434783,-0.1663,0.448039130434783
2022-04-01,0.7463157894736842,0.2516,0.49471578947368416
2022-05-01,0.952727272727273,0.4832,0.46952727272727296
2022-06-01,1.445,1.0306,0.4144000000000001
2022-07-01,1.08190476190476,0.7056,0.3763047619047599
2022-08-01,1.03434782608696,0.9069,0.12744782608696004
2022-09-01,1.79545454545455,1.8065,-0.011045454545449918
2022-10-01,2.1866666666666696,2.1865,0.0001666666666695349
2022-11-01,2.06636363636364,2.3251,-0.25873636363636
2022-12-01,2.0852380952381,2.5465,-0.4612619047619
2023-01-01,2.19272727272727,2.7677,-0.5749727272727299
2023-02-01,2.3705,3.0089,-0.6384000000000003
2023-03-01,2.3834782608695697,3.0208,-0.6373217391304302
2023-04-01,2.35944444444444,2.9789,-0.6194555555555601
2023-05-01,2.34227272727273,2.9914,-0.6491272727272701
2023-06-01,2.37636363636364,3.2857,-0.9093363636363598
2023-07-01,2.4566666666666697,3.468,-1.0113333333333303
2023-08-01,2.54565217391304,3.3595,-0.8138478260869602
2023-09-01,2.6614285714285697,3.4952,-0.8337714285714304
2023-10-01,2.82318181818182,3.5281,-0.7049181818181798
2023-11-01,2.60136363636364,3.3236,-0.7222363636363598
2023-12-01,2.10210526315789,2.8227,-0.7205947368421102
2024-01-01,2.17454545454545,2.8346,-0.6600545454545501
2024-02-01,2.33190476190476,2.989,-0.65709523809524
2024-03-01,2.3495,3.0397,-0.6901999999999999
2024-04-01,2.44571428571429,3.1298,-0.6840857142857097
2024-05-01,2.51954545454545,3.1868,-0.6672545454545498
2024-06-01,2.4845,3.1726,-0.6880999999999999
2024-07-01,2.4582608695652204,2.9976,-0.5393391304347794
2024-08-01,2.2077272727272703,2.6338,-0.4260727272727296
2024-09-01,2.16714285714286,2.4268,-0.25965714285714014
