"date","price","Open","High","Low","Change %"
"04/01/2006","0.690","0.730","0.780","0.645","-4.96%"
"05/01/2006","0.815","0.668","0.846","0.645","18.12%"
"06/01/2006","0.879","0.858","0.908","0.665","7.85%"
"07/01/2006","0.839","0.875","0.953","0.759","-4.55%"
"08/01/2006","0.619","0.842","0.858","0.611","-26.22%"
"09/01/2006","0.682","0.613","0.695","0.592","10.18%"
"10/01/2006","0.727","0.700","0.852","0.634","6.60%"
"11/01/2006","0.812","0.735","0.845","0.717","11.69%"
"12/01/2006","0.825","0.785","0.882","0.748","1.60%"
"01/01/2007","0.736","0.850","0.876","0.717","-10.79%"
"02/01/2007","0.830","0.712","0.850","0.698","12.77%"
"03/01/2007","0.843","0.827","0.858","0.734","1.57%"
"04/01/2007","0.883","0.825","0.888","0.825","4.74%"
"05/01/2007","0.987","0.860","0.987","0.860","11.78%"
"06/01/2007","1.051","0.995","1.102","0.995","6.48%"
"07/01/2007","1.011","1.035","1.135","0.955","-3.81%"
"08/01/2007","0.886","0.995","1.060","0.760","-12.36%"
"09/01/2007","0.886","0.875","0.935","0.745","0.00%"
"10/01/2007","0.796","0.860","0.940","0.760","-10.16%"
"11/01/2007","0.771","0.835","0.870","0.680","-3.14%"
"12/01/2007","0.731","0.770","0.795","0.690","-5.19%"
"01/01/2008","0.565","0.720","0.725","0.500","-22.71%"
"02/01/2008","0.563","0.530","0.670","0.525","-0.35%"
"03/01/2008","0.580","0.540","0.635","0.460","3.02%"
"04/01/2008","0.810","0.555","0.870","0.535","39.66%"
"05/01/2008","0.860","0.740","0.915","0.710","6.17%"
"06/01/2008","0.795","0.915","1.030","0.755","-7.56%"
"07/01/2008","0.775","0.830","0.865","0.725","-2.52%"
"08/01/2008","0.715","0.730","0.780","0.635","-7.74%"
"09/01/2008","0.770","0.705","0.885","0.660","7.69%"
"10/01/2008","0.580","0.825","0.885","0.505","-24.68%"
"11/01/2008","0.610","0.605","0.640","0.485","5.17%"
"12/01/2008","0.400","0.610","0.610","0.335","-34.43%"
"01/01/2009","0.460","0.420","0.485","0.325","15.00%"
"02/01/2009","0.400","0.460","0.510","0.365","-13.04%"
"03/01/2009","0.420","0.400","0.450","0.390","5.00%"
"04/01/2009","0.390","0.410","0.500","0.385","-7.14%"
"05/01/2009","0.360","0.380","0.410","0.340","-7.69%"
"06/01/2009","0.315","0.360","0.400","0.305","-12.50%"
"07/01/2009","0.285","0.320","0.320","0.230","-9.52%"
"08/01/2009","0.255","0.286","0.296","0.238","-10.53%"
"09/01/2009","0.250","0.257","0.257","0.208","-1.96%"
"10/01/2009","0.262","0.250","0.290","0.235","4.80%"
"11/01/2009","0.231","0.265","0.293","0.226","-11.83%"
"12/01/2009","0.150","0.235","0.238","0.150","-35.06%"
"01/01/2010","0.165","0.157","0.178","0.129","10.00%"
"02/01/2010","0.155","0.160","0.186","0.122","-6.06%"
"03/01/2010","0.185","0.160","0.188","0.142","19.35%"
"04/01/2010","0.173","0.176","0.185","0.157","-6.49%"
"05/01/2010","0.170","0.170","0.180","0.147","-1.73%"
"06/01/2010","0.150","0.163","0.180","0.148","-11.76%"
"07/01/2010","0.155","0.155","0.165","0.140","3.33%"
"08/01/2010","0.133","0.155","0.157","0.115","-14.19%"
"09/01/2010","0.140","0.125","0.165","0.125","5.26%"
"10/01/2010","0.145","0.135","0.150","0.107","3.57%"
"11/01/2010","0.195","0.140","0.217","0.130","34.48%"
"12/01/2010","0.175","0.194","0.249","0.174","-10.26%"
"01/01/2011","0.200","0.175","0.206","0.168","14.29%"
"02/01/2011","0.245","0.195","0.250","0.195","22.50%"
"03/01/2011","0.215","0.250","0.257","0.148","-12.24%"
"04/01/2011","0.200","0.210","0.216","0.195","-6.98%"
"05/01/2011","0.180","0.200","0.200","0.169","-10.00%"
"06/01/2011","0.175","0.180","0.180","0.149","-2.78%"
"07/01/2011","0.157","0.175","0.179","0.148","-10.29%"
"08/01/2011","0.142","0.155","0.159","0.110","-9.55%"
"09/01/2011","0.142","0.142","0.151","0.125","0.00%"
"10/01/2011","0.150","0.141","0.175","0.136","5.63%"
"11/01/2011","0.144","0.118","0.155","0.118","-4.00%"
"12/01/2011","0.135","0.150","0.150","0.125","-6.25%"
"01/01/2012","0.131","0.134","0.139","0.128","-2.96%"
"02/01/2012","0.117","0.132","0.142","0.106","-10.69%"
"03/01/2012","0.120","0.115","0.125","0.113","2.56%"
"04/01/2012","0.118","0.120","0.140","0.109","-1.67%"
"05/01/2012","0.103","0.114","0.135","0.070","-12.71%"
"06/01/2012","0.105","0.095","0.150","0.090","1.94%"
"07/01/2012","0.099","0.100","0.109","0.093","-5.71%"
"08/01/2012","0.101","0.098","0.108","0.087","2.02%"
"09/01/2012","0.103","0.097","0.105","0.093","1.98%"
"10/01/2012","0.100","0.101","0.105","0.098","-2.91%"
"11/01/2012","0.097","0.099","0.105","0.097","-3.00%"
"12/01/2012","0.097","0.098","0.103","0.096","0.00%"
"01/01/2013","0.074","0.099","0.100","0.066","-23.71%"
"02/01/2013","0.046","0.070","0.090","0.024","-37.84%"
"03/01/2013","0.069","0.051","0.071","0.038","50.00%"
"04/01/2013","0.129","0.069","0.147","0.059","86.96%"
"05/01/2013","0.148","0.125","0.157","0.113","14.73%"
"06/01/2013","0.149","0.144","0.152","0.123","0.68%"
"07/01/2013","0.123","0.145","0.149","0.118","-17.45%"
"08/01/2013","0.118","0.120","0.127","0.108","-4.07%"
"09/01/2013","0.108","0.116","0.120","0.094","-8.47%"
"10/01/2013","0.100","0.108","0.113","0.094","-7.41%"
"11/01/2013","0.087","0.100","0.101","0.086","-13.00%"
"12/01/2013","0.100","0.084","0.102","0.083","14.94%"
"01/01/2014","0.089","0.101","0.104","0.086","-11.00%"
"02/01/2014","0.073","0.085","0.092","0.067","-17.98%"
"03/01/2014","0.091","0.076","0.095","0.072","24.66%"
"04/01/2014","0.089","0.090","0.095","0.083","-2.20%"
"05/01/2014","0.090","0.089","0.095","0.084","1.12%"
"06/01/2014","0.077","0.089","0.093","0.071","-14.44%"
"07/01/2014","0.071","0.074","0.076","0.061","-7.79%"
"08/01/2014","0.072","0.067","0.094","0.063","1.41%"
"09/01/2014","0.074","0.074","0.081","0.062","2.78%"
"10/01/2014","0.034","0.074","0.078","0.013","-54.05%"
"11/01/2014","0.008","0.019","0.100","0.004","-76.47%"
"12/01/2014","-0.016","0.014","0.018","-0.042","-300.00%"
"01/01/2015","0.016","-0.019","0.017","-0.047","-200.00%"
"02/01/2015","0.023","0.016","0.069","0.014","43.75%"
"03/01/2015","0.044","0.020","0.051","0.005","91.30%"
"04/01/2015","0.009","0.043","0.115","-0.015","-79.55%"
"05/01/2015","0.001","0.006","0.029","-0.011","-88.89%"
"06/01/2015","0.007","0.001","0.017","-0.001","600.00%"
"07/01/2015","0.011","0.006","0.021","0.003","57.14%"
"08/01/2015","0.012","0.010","0.015","0.004","9.09%"
"09/01/2015","0.019","0.016","0.028","0.011","58.33%"
"10/01/2015","0.007","0.019","0.021","0.006","-63.16%"
"11/01/2015","0.002","0.007","0.012","-0.023","-71.43%"
"12/01/2015","-0.009","-0.005","-0.001","-0.041","-550.00%"
"01/01/2016","-0.060","-0.010","0.002","-0.069","566.67%"
"02/01/2016","-0.232","-0.080","-0.079","-0.241","286.67%"
"03/01/2016","-0.207","-0.232","-0.134","-0.232","-10.78%"
"04/01/2016","-0.233","-0.213","-0.188","-0.284","12.56%"
"05/01/2016","-0.236","-0.237","-0.220","-0.251","1.29%"
"06/01/2016","-0.298","-0.235","-0.227","-0.302","26.27%"
"07/01/2016","-0.244","-0.294","-0.238","-0.368","-18.12%"
"08/01/2016","-0.193","-0.254","-0.140","-0.257","-20.90%"
"09/01/2016","-0.276","-0.193","-0.177","-0.297","43.01%"
"10/01/2016","-0.238","-0.274","-0.232","-0.282","-13.77%"
"11/01/2016","-0.159","-0.239","-0.102","-0.277","-33.19%"
"12/01/2016","-0.175","-0.156","-0.153","-0.196","10.06%"
"01/01/2017","-0.198","-0.179","-0.175","-0.247","13.14%"
"02/01/2017","-0.271","-0.203","-0.188","-0.274","36.87%"
"03/01/2017","-0.189","-0.245","-0.183","-0.294","-30.26%"
"04/01/2017","-0.205","-0.188","-0.164","-0.232","8.47%"
"05/01/2017","-0.156","-0.199","-0.144","-0.206","-23.90%"
"06/01/2017","-0.111","-0.158","-0.091","-0.161","-28.85%"
"07/01/2017","-0.112","-0.113","-0.091","-0.126","0.90%"
"08/01/2017","-0.164","-0.112","-0.101","-0.164","46.43%"
"09/01/2017","-0.113","-0.165","-0.109","-0.166","-31.10%"
"10/01/2017","-0.157","-0.113","-0.107","-0.159","38.94%"
"11/01/2017","-0.157","-0.160","-0.154","-0.214","0.00%"
"12/01/2017","-0.137","-0.153","-0.126","-0.154","-12.74%"
"01/01/2018","-0.134","-0.134","-0.122","-0.140","-2.19%"
"02/01/2018","-0.157","-0.134","-0.116","-0.162","17.16%"
"03/01/2018","-0.132","-0.156","-0.130","-0.167","-15.92%"
"04/01/2018","-0.132","-0.134","-0.119","-0.154","0.00%"
"05/01/2018","-0.142","-0.135","-0.123","-0.148","7.58%"
"06/01/2018","-0.122","-0.144","-0.120","-0.144","-14.08%"
"07/01/2018","-0.111","-0.122","-0.102","-0.131","-9.02%"
"08/01/2018","-0.113","-0.101","-0.082","-0.131","1.80%"
"09/01/2018","-0.112","-0.113","-0.101","-0.115","-0.88%"
"10/01/2018","-0.123","-0.107","-0.104","-0.123","9.82%"
"11/01/2018","-0.129","-0.113","-0.112","-0.147","4.88%"
"12/01/2018","-0.138","-0.129","-0.111","-0.159","6.98%"
"01/01/2019","-0.167","-0.148","-0.132","-0.179","21.01%"
"02/01/2019","-0.152","-0.170","-0.148","-0.184","-8.98%"
"03/01/2019","-0.178","-0.143","-0.136","-0.183","17.11%"
"04/01/2019","-0.149","-0.177","-0.144","-0.177","-16.29%"
"05/01/2019","-0.173","-0.157","-0.149","-0.174","16.11%"
"06/01/2019","-0.218","-0.175","-0.174","-0.248","26.01%"
"07/01/2019","-0.205","-0.224","-0.179","-0.228","-5.96%"
"08/01/2019","-0.305","-0.203","-0.185","-0.321","48.78%"
"09/01/2019","-0.322","-0.306","-0.235","-0.347","5.57%"
"10/01/2019","-0.231","-0.318","-0.191","-0.337","-28.26%"
"11/01/2019","-0.173","-0.248","-0.152","-0.273","-25.11%"
"12/01/2019","-0.127","-0.170","-0.088","-0.171","-26.59%"
"01/01/2020","-0.152","-0.142","-0.112","-0.158","19.69%"
"02/01/2020","-0.253","-0.170","-0.123","-0.254","66.45%"
"03/01/2020","-0.141","-0.256","-0.121","-0.337","-44.27%"
"04/01/2020","-0.178","-0.147","-0.115","-0.187","26.24%"
"05/01/2020","-0.163","-0.170","-0.146","-0.179","-8.43%"
"06/01/2020","-0.143","-0.158","-0.131","-0.168","-12.27%"
"07/01/2020","-0.138","-0.138","-0.125","-0.148","-3.50%"
"08/01/2020","-0.113","-0.135","-0.102","-0.136","-18.12%"
"09/01/2020","-0.136","-0.111","-0.109","-0.155","20.35%"
"10/01/2020","-0.122","-0.131","-0.118","-0.144","-10.29%"
"11/01/2020","-0.123","-0.123","-0.113","-0.156","0.82%"
"12/01/2020","-0.122","-0.121","-0.118","-0.139","-0.81%"
"01/01/2021","-0.125","-0.120","-0.116","-0.138","2.46%"
"02/01/2021","-0.112","-0.120","-0.085","-0.130","-10.40%"
"03/01/2021","-0.123","-0.119","-0.106","-0.146","9.82%"
"04/01/2021","-0.124","-0.111","-0.111","-0.133","0.81%"
"05/01/2021","-0.128","-0.126","-0.122","-0.133","3.23%"
"06/01/2021","-0.112","-0.119","-0.109","-0.125","-12.50%"
"07/01/2021","-0.124","-0.111","-0.109","-0.134","10.71%"
"08/01/2021","-0.132","-0.125","-0.120","-0.144","6.45%"
"09/01/2021","-0.124","-0.124","-0.119","-0.130","-6.06%"
"10/01/2021","-0.101","-0.119","-0.098","-0.124","-18.55%"
"11/01/2021","-0.125","-0.100","-0.095","-0.130","23.76%"
"12/01/2021","-0.089","-0.112","-0.088","-0.119","-28.80%"
